Periode,Beras Biasa (Rp),Beras Medium (Rp),Beras Premium (Rp),Harga Beras Rata Rata (Rp)
2022-01,9500,10175,11325,10333
2022-02,9712,10475,11462,10550
2022-03,9575,10225,11275,10358
2022-04,9475,10300,11400,10392
2022-05,9442,10258,11367,10356
2022-06,9408,10217,11333,10319
2022-07,9375,10175,11300,10283
2022-08,9500,10300,11400,10400
2022-09,9675,10450,11650,10592
2022-10,10025,10800,11900,10908
2022-11,10225,10975,12100,11100
2022-12,10475,11125,12250,11283
2023-01,10800,11475,12450,11575
2023-02,11150,11850,12800,11933
2023-03,11175,11850,12750,11925
2023-04,11150,11825,12900,11958
2023-05,11300,11750,12975,12008
2023-06,11375,11900,12925,12067
2023-07,11225,11825,12875,11975
2023-08,11225,11875,12900,12000
2023-09,12050,12475,13475,12667
2023-10,12800,13200,14175,13392
2023-11,13025,13350,14375,13583
2023-12,13050,13500,14475,13675
2024-01,13050,13475,14425,13650
2024-02,13825,14150,15350,14442
2024-03,14650,15000,16100,15250
2024-04,14275,14575,15775,14875
2024-05,13600,13850,15250,14233
2024-06,12900,13500,14925,13775
2024-07,12975,13725,15175,13958
2024-08,13075,13675,15175,13975
2024-09,13100,13625,15050,13925
2024-10,13425,13650,15075,14050
2024-11,13350,13600,15025,13992
2024-12,13150,13500,15000,13883
