Periode,Produksi Padi (Ton),Curah Hujan (mm),Status Musim,Beras Biasa (Rp),Beras Medium (Rp),Beras Premium (Rp),Harga Beras Rata Rata (Rp)
2022-01,280000.0,277.75,Musim Hujan,9500,10175,11325,10333
2022-02,650000.0,284.38,Musim Hujan,9712,10475,11462,10550
2022-03,2290000.0,346.85,Musim Hujan,9575,10225,11275,10358
2022-04,1420000.0,198.2,Musim Hujan,9475,10300,11400,10392
2022-05,530000.0,190.29,Musim Hujan,9442,10258,11367,10356
2022-06,820000.0,117.12,Kemarau,9408,10217,11333,10319
2022-07,1060000.0,88.68,Kemarau,9375,10175,11300,10283
2022-08,640000.0,50.11,Kemarau,9500,10300,11400,10400
2022-09,460000.0,65.69,Kemarau,9675,10450,11650,10592
2022-10,490000.0,237.65,Musim Hujan,10025,10800,11900,10908
2022-11,550000.0,311.1,Musim Hujan,10225,10975,12100,11100
2022-12,340000.0,298.9,Musim Hujan,10475,11125,12250,11283
2023-01,319104.79,226.53,Musim Hujan,10800,11475,12450,11575
2023-02,978255.37,401.48,Musim Hujan,11150,11850,12800,11933
2023-03,2109963.82,244.02,Musim Hujan,11175,11850,12750,11925
2023-04,1187207.4,204.14,Musim Hujan,11150,11825,12900,11958
2023-05,626767.96,75.03,Kemarau,11300,11750,12975,12008
2023-06,940075.2,20.14,Kemarau,11375,11900,12925,12067
2023-07,924228.51,57.03,Kemarau,11225,11825,12875,11975
2023-08,743342.68,11.47,Kemarau,11225,11875,12900,12000
2023-09,528980.73,3.09,Kemarau,12050,12475,13475,12667
2023-10,428914.0,48.66,Kemarau,12800,13200,14175,13392
2023-11,485115.13,165.95,Musim Hujan,13025,13350,14375,13583
2023-12,438705.74,158.21,Musim Hujan,13050,13500,14475,13675
2024-01,277035.02,283.11,Musim Hujan,13050,13475,14425,13650
2024-02,310234.48,338.35,Musim Hujan,13825,14150,15350,14442
2024-03,1321465.79,360.67,Musim Hujan,14650,15000,16100,15250
2024-04,2135744.25,281.9,Musim Hujan,14275,14575,15775,14875
2024-05,865264.09,29.2,Kemarau,13600,13850,15250,14233
2024-06,649671.78,74.4,Kemarau,12900,13500,14925,13775
2024-07,889962.44,38.48,Kemarau,12975,13725,15175,13958
2024-08,866020.53,13.86,Kemarau,13075,13675,15175,13975
2024-09,652260.74,54.97,Kemarau,13100,13625,15050,13925
2024-10,471937.28,55.01,Kemarau,13425,13650,15075,14050
2024-11,462469.22,278.22,Musim Hujan,13350,13600,15025,13992
2024-12,368369.67,507.35,Musim Hujan,13150,13500,15000,13883
